img_id,folder_name,category_id,category_abbre,category_full_name,yolo_labels,places365_label
000001.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"bird,airplane",
000002.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000004.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000005.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
000006.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,tennis racket,
000007.jpg,SCATTER,24,P-Scat,Scatter,,
000008.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bear,
000009.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bear,
000010.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,stop sign,
000011.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,person,
000012.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
000013.jpg,PATTERN,23,PL-Pat,Pattern,book,
000014.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,tie,
000015.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000016.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,remote,
000017.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000018.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000019.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,"bowl,dining table",
000020.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
000021.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
000022.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000023.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,bottle,
000025.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
000026.jpg,DIFFUSE,20,LS-Dif,Diffuse,"carrot,sandwich",
000028.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000029.jpg,PATTERN,23,PL-Pat,Pattern,,
000030.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,apple,
000031.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000032.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
000033.jpg,PATTERN,23,PL-Pat,Pattern,bench,
000034.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
000035.jpg,DIFFUSE,20,LS-Dif,Diffuse,umbrella,
000036.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,,
000037.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000038.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000039.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,remote,
000040.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000041.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000042.jpg,PATTERN,23,PL-Pat,Pattern,,
000043.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"orange,dining table",
000045.jpg,SCATTER,24,P-Scat,Scatter,,
000046.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,,
000047.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
000048.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,bench,
000050.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,bowl,
000051.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,"car,traffic light",
000052.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
000054.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000055.jpg,PATTERN,23,PL-Pat,Pattern,chair,
000056.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
